date,60+ vaccinated(atleast 1st dose),45-60 vacccinated (atleast 1st dose)
01/03,1576,374
02/03,7426,1771
03/03,19823,3054
04/03,33632,5179
05/03,50368,7767
06/03,67810,10722
07/03,68931,10828
08/03,100574,16497
09/03,137548,23236
10/03,188764,31962
11/03,210827,36869
12/03,275301,50343
13/03,317695,62203
14/03,334087,66244
15/03,429892,87985
16/03,520922,114705
17/03,655162,149151
18/03,773674,184180
19/03,870800,211888
20/03,1008874,254423
21/03,1090977,286014
22/03,1173848,309660
23/03,1286722,352820
24/03,1376389,381283
25/03,1474555,418288
26/03,1561478,451395
27/03,1641201,481749
28/03,1687973,504984
29/03,1749296,530691
30/03,1817912,562257
31/03,1895341,598093
01/04,1971526,641721
02/04,2029912,709239
03/04,2103247,813411
04/04,2165027,910657
05/04,2211092,978874
06/04,2278143,1073475
07/04,2350434,1168376
08/04,2481196,1363626
09/04,2545409,1454432
10/04,2651622,1606567
11/04,2728455,1739108
12/04,2776711,1816873
13/04,2807440,1865695
14/04,2821618,1892858
15/04,2861635,1973602
16/04,2903117,2035684
17/04,2967680,2135307
18/04,3079906,2316445
19/04,3120087,2370728
20/04,3168059,2451965
21/04,3206702,2523509
22/04,3250961,2599652
23/04,3257225,3036525
24/04,3294617,3118084
25/04,3322740,3170763
26/04,3350863,3223443
27/04,3395181,3301847
28/04,3433743,3371403
29/04,3457326,3417147
30/04,3497513,3499655
01/05,3529489,3568965
02/05,3536248,3559037
03/05,3545507,3582934
04/05,3551777,3601406
