State,Total population(2021 projection),18+,15-59,60+ #India 45+ are about 189.3M
Andhra Pradesh,52787,39521,35406,6557 
Karnataka,66845,48917,44434,7658 
Kerala,35489,26708,22390,5853 
Tamil Nadu,76402,57891,50793,10419 
Telangana,37725,27767,25448,4160 
Maharashtra,124437,91435,82950,14548 
Gujarat,69788,48908,45342,7123 
Madhya Pradesh,84516,54949,52588,7161 
Chhattisgarh,29493,19650,18699,2586 
Odisha,44033,31369,28444,5194 
Jharkhand,38471,24863,24010,3250 
West Bengal,98125,72651,66425,11048 
Assam,35043,23658,22808,2888 
Bihar,123083,73449,72331,9464 
Uttar Pradesh,230907,147424,142666,18772 
Rajasthan,79281,51509,49327,6833 
Delhi,20571,,14189,1904 
Haryana,29483,20581,19232,2890 
Uttarakhand,11399,8063,7482,1209 
Punjab,30339,22738,20328,3829 
Himachal Pradesh,7394,5523,4909,965 
Jammu and Kashmir,13408,9408,8973,1268 
India,1361343,940187,876366,137897
